Original_Index,Split,GroundTruth_CD,Predicted_CD,Error,Error_Class
373,Training,8.993409157,6.347724438,2.645684719,
374,Training,8.837762833,6.432484627,2.405278206,
375,Training,12.75340939,9.583960533,3.169448853,
376,Training,9.127023697,7.848931789,1.278091908,
377,Training,10.406991,8.42977047,1.977220535,
378,Training,11.01132965,10.59881973,0.4125099182,
379,Validation,8.594280243,7.0593853,1.534894943,
380,Training,9.710178375,6.962180138,2.747998238,
381,Training,12.76597023,8.839753151,3.926217079,
382,Training,7.6439147,6.202708244,1.441206455,
383,Validation,8.971617699,7.855872154,1.115745544,
384,Training,9.836907387,9.401993752,0.4349136353,
385,Testing,8.116956711,7.098748684,1.018208027,0
386,Training,10.01268482,9.559546471,0.4531383514,
387,Testing,12.18440247,11.2458744,0.9385280609,1
388,Training,10.07266903,9.049056053,1.023612976,
389,Validation,10.06982327,8.263934135,1.80588913,
390,Training,11.72450256,11.10224247,0.6222600937,
391,Training,7.252847672,8.38124752,1.128399849,
392,Training,8.817842484,5.91420269,2.903639793,
393,Training,12.78806686,9.745916367,3.042150497,
394,Training,7.637633801,7.999275208,0.361641407,
395,Training,8.146439552,6.268929482,1.877510071,
396,Training,11.64498711,10.04473686,1.600250244,
397,Validation,9.097859383,8.475992203,0.6218671799,
398,Training,9.386037827,11.08856773,1.702529907,
399,Training,13.00117588,10.64426899,2.356906891,
400,Training,12.48415947,9.634486198,2.849673271,
401,Validation,10.22146606,9.287396431,0.9340696335,
402,Training,14.84653282,12.0218401,2.824692726,
403,Training,9.440042496,9.377364159,0.0626783371,
404,Training,8.148947716,6.234271049,1.914676666,
405,Training,12.99069405,9.97173214,3.018961906,
406,Validation,7.952567101,6.030299187,1.922267914,
407,Training,7.859042168,8.935009003,1.075966835,
408,Training,13.1789484,11.46844959,1.71049881,
409,Training,9.893522263,8.993836403,0.8996858597,
410,Training,10.83372688,9.77364254,1.060084343,
411,Training,14.90719509,11.63386345,3.273331642,
412,Training,11.77432442,11.04337597,0.7309484482,
413,Testing,9.266651154,10.6656332,1.398982048,0
414,Training,17.30504799,12.17895031,5.126097679,
415,Training,10.27570915,9.351325989,0.9243831635,
416,Training,7.866731644,6.52387619,1.342855453,
417,Training,14.0084753,9.688761711,4.319713593,
418,Validation,8.640541077,6.527641773,2.112899303,
